,review
0,Mágico lugar donde las noches estrelladas iluminan el infinito y la tranquilidad del mar invitan a disfrutarlo de noche. Buena gastronomía marina y el alojamiento a mejorado. Ha crecido su población artesanal. Vale repetir y dejarse envolver en un atardecer.
1,"Excelente ciudad, gente aseada y amable, gastronomía espectacular, majestuosas playas, no tan costoso. Gente segura,  gente amable, Llegamos al hotel riohacha es un hotel modesto pero súper central y económico, el teléfono de allí es calle 15 número 5-26 teléfono 7291190 con el indicativo de riohacha,   ahí mismo en riohacha unas playas espectaculares, la comida es deli, recomendadisimo el restaurante rancho del sol la dirección carrera 12 5-40,. En la esquina del restaurante una panadería con los mejores panes, una delicia completa,  todas las carreras en el taxi valen 6.000 , del aeropuerto al hotel 10.000 , para comer súper elegante , deliciosooo la comida, desayunos , el valor 10 desayunos , almuerzos a 15 y es un lugar mágico, hay un lugar hermoso para tomar café por el callejón de la brisa, cerca a la playa,  el plan al cabo de la vela y punta gallinas es un poco fuertecito por lo que recomiendo que si o si se deben quedar , los lugares son geniales, playas aseadas, vírgenes, lo esperan a que hagas el tour y te esperan en la camioneta  son súper aseados la comida deliciosa, la persona que nos llevó a uribia fue el señor Israel Peñalosa número de celular 321-5632657 ahí cualquier persona te lleva al cabo  y con quién hicimos el plan de quedarnos en los chinchorros en el cabo de la vela es Marleny número 323-4551610. El plan al cabo de la vela lo hicimos con Miqueli o con Marleny. El número de Miqueli es 314-530 34 46"
2,"Guajira, en Colombia. Uno de los lugares más hermosos de nuestra nave planetaria. Unas playas como pocas en el mundo largas y espaciosas, un mar de bello color jade y azules claros, arenas blancas, doradas y gris claro. Si recorres te encuentras con tres tipos de territorio desde el verde al desierto con dunas.Territorio de la etnia guayu. Alojamiento para todos los gustos y tipos de aventura. Para deportes acuáticos.Se convirtió en mi favorita."
3,"Hola quiero hacer una pequeña reseña lo mas bonito de todo el paseo son los paisajes , pero si hay algo verdaderamente hermoso es ver la cara de felicidad de los niños wayuu cuando reciben cualquier regalo de parte de los turistas , van a encontrar por todo el camino muchísimos puntos dónde salen los niños corriendo hacia los carros a pedirles cosas .las personas pensaran que quieren dinero pero la verdad es que ellos solo esperan que ud les lleve cualquier tipo de confetis o caramelos esos los van apreciar más que cualquier billete de 50mil puesto que con eso se quedan las personas mayores entonces los que tengan la oportunidad de viajar a la alta guajira cómo fue mí caso les pido ese favor ; antes de arrancar de cualquier punto compren paquetes de dulces , botellitas de agua,galletas o cosas de comer para darle a esos niños .""no los entreguen todos al principio porque los niños van a estar de principio a fin del viaje."
4,"Paisajes espectaculares, mar, brisa, playa y hospitalidad. Un lugar que sin duda debes visitar, y después de eso querrás regresar. Recomendado el Ojo del Agua y el atardecer en el Faro."
5,"Es un sitio digno de conocer. Después de haber contratado unos guías con moto para recoger,  playa arcoíris,  ojo del agua,  y el pilón de Azúcar con su playa terminamos por el Faro. Hay que estar allí a partir de las17h30 hasta las 18h00 para ver el sol esconderse en el mar. La única pega es que hay mucha gente pero  realmente vale la pena.  "
6,"Es un lugar hermoso de mi Colombia, viajar en familia o solo, lo máximo. Lo hicimos por Macuira Tours, no hay necesidad de reservar en temporada media, alojamiento en Ranchería Utta, libre de bichos, hasta de moscas, en la noche se duerme tranquilo. La alimentación es buenísima, sana con toda la higiene del caso.  las caminadas por allí no son dificiles, inclusive hasta Punta Gallinas a pesar de que sufro de rodillas, caminar preferiblemente en tenis cómodos, para subir a Ojo de agua, el Pilón, y al Faro. Por favor llevar algún presente (galletas, mecato) para niños Wayuu que salen en cantidades por el camino, en Uribia se consigue Paquetes de panes especiales con dulce de guayaba y las bolsas de agua personales, muy favorables de 50 unidades. No es suficiente lo que se lleve, se pueden quedar corticos, se viene uno con una satisfacción muy grande de llevar alguna alegría a estas familias (vía para Punta Gallinas la necesidad, es más) se hace necesario llevar medicamentos en caso de dolores o algún imprevisto que se presente (diarrea)."
7,"Nos quedamos en Uribia en el Hotel Villa Maria ,a la mañana siguiente tomamos un Tour con Mochileros.com salimos al  Cabo de la Vela, nos bañamos en la playa y a las 2 pm salimos ha recorrer en Camioneta 4x4 los 5 puntos.Los paisajes que encontramos son de ensueño y de playas exóticas, volvería otra vez. Ese mismo día nos regresamos a Uribia, pero la gran mayoría de personas se quedan en Hamacas y al otro dia viajan a punta Gallinas.Recomendaciones ir con guías de la zona y llevar agua, en la Guajira es muy escasa, también llevar Lomotil por si ocurre un mal de estomago."
8,"Hola viaje desde el hotel Wayira hasta el cabo de la vela, fue de pasa diaLo Positivo, es un lugar hermoso, lindos paisajes, conoces la realidad de la Guajira, es un viaje para aventurar.Lo negativo, la seguridad viajamos escoltados por la policía debido que en ocasiones asaltan los carros, el tiempo casi 3 horas desde la guajira, en el viaje de pasadia fueron 7 horas en el bus, mucho tiempo par aun paseo de menos de 12 horas"
9,Hermoso y majestuoso lugar. Con playas exóticas aguas calidas y de marea suave. Donde puedes disfrutar de refrescos mientras te deslumbras con sus paisajes
