review,sentiment
"Bahía Inglesa may be the only beaching Chile that looks like a Caribbean one i.e white sand and turquoise and clear waters. It is very nice for a day of sun at the beach. However, the water is very cold? (16-18 degrees centigrade).There is boardwalk that borders the beach with a few hotels and many restaurants.Eating at Bahia Inglesa is not cheap. ",3
Tiny beach definitely worth visiting. We went from copiapo to caldera with a bus which departed from the buss terminal next to the Lider (supermarket) for 3.500 CLP. From Caldera we took a collectivo to 1.000 CLP to Bahia Inglesa. ,5
"Just down the road from Caldera is this gorgeous beach with its white sands and turquoise waters. This is the South Pacific so the water is COLD. Too cold for us to dip in in early April but several brave souls did! Amongst the sand are black rocks that give the bay character but rock shoes are by no means necessary. It gets a bit windy but never too cold to lie and sunbathe in the strong light. Parking is free along the esplanade and there are several restaurants. There is a boardwalk from the road into the beach and is suitable for wheelchair users as well. The beach was clean when we visited. No litter anywhere. But there are several stray dogs, though not vicious but rather friendly and playful (if a bit mangy). This is a great place to spend a day and one of the most beautiful beaches in Chile. Definitely recommended. ",4
"A 2 star hotel. Is highly rated as Copiapo hardly have any nice hotel. Wifi no presence at all in the room. It has a nice pool but too cold for me to dare to try :) Breakfast no where near Hotel Casino Antay and front desk service is poor. However in Copiapo, you really cannot expect great service in general. You're lucky if they speed things up for you. Overall, is only a nice 1 day stopover after many days in mountains to have a good shower. Lots of resto nearby.",2
"We went there in the spring (October), and it was totally dead, even on a Friday! Some restaurants were open, but all hostels were closed. Therefore there is nothing to do. I really don't recommend it outside the high season.",1
My boyfriend and I drove here expecting beautiful turquoise shores and what we found was an extremely crowded and touristy sea front with some white sand but no turquoise waters. We ended up driving south down the coast where we found more beautiful and completely deserted beaches. Disappointed in Bahia Inglesa.,2
"Got the bus from Copiapo(bus station is located next to Lider supermarket) to Caldera which took about 1hr.At Caldera you can take a collectivo or taxi to Bahia inglesa.Its about 5kms ride and may cost between 1000-2000 pesos each way.I  was there in the low season so the place was quiet,but had a few restaurants and cafes open.I suggest eating in Caldera where you have better choices of restaurants and slightly lower prices too.",4
"On our way from the San Francisco Pass to Atacama, we decided not to try our luck with Copiapó hotels and headed straight for Bahía Inglesa, on the Pacific Coast. While definitely a pure tourist town, its restaurants and hotels offer seaside views, a relaxing atmosphere, and it is possible to explore both, inland desert landscapes and nearby beaches.",4
"I was greatly surprised when I discovered this place with my family, on vacation. It was so pleasant to know that we could enjoy that small paradise in a really peaceful way, a perfect option to avoid crowds. There the sand is really clear and the water is very crystalline, even turquoise, and also  warmer than most of the chilean coast. In addition to that, you can try some scuba diving classes, which I totally recommend too.",5
"Bahia Inglesa is a small, laid back beach village where a stroll along the front gives you white sand beach, cafes, bars and restaurants - not too many - a dive school and a couple of hotels. The pace of life is very leisurely.We spent two nights here and could easily have slowed down to spend a week ; a delight.",4
